Backfilling LGA boundaries for 542 locales.
[150/542] Derwent Valley... ok (MultiPolygon, 229389 chars)
[151/542] Devonport... ok (MultiPolygon, 345504 chars)
[152/542] Diamantina... ok (Polygon, 16755 chars)
[153/542] Donnybrook-Balingup... ok (Polygon, 21596 chars)
[154/542] Doomadgee... ok (MultiPolygon, 15720 chars)
[155/542] Dorset... ok (MultiPolygon, 747585 chars)
[156/542] Douglas... ok (MultiPolygon, 129237 chars)
[157/542] Dowerin... ok (Polygon, 19148 chars)
[158/542] Dubbo Regional... ok (Polygon, 544657 chars)
[159/542] Dumbleyung... ok (Polygon, 15955 chars)
[160/542] Dundas... ok (Polygon, 48018 chars)
[161/542] Dungog... ok (Polygon, 149790 chars)
[162/542] East Arnhem... ok (MultiPolygon, 800102 chars)
[163/542] East Fremantle... ok (Polygon, 7897 chars)
[164/542] East Gippsland... ok (MultiPolygon, 862211 chars)
[165/542] East Pilbara... ok (MultiPolygon, 53598 chars)
[166/542] Edward River... ok (Polygon, 229620 chars)
[167/542] Elliston... ok (MultiPolygon, 210006 chars)
[168/542] Esperance... ok (MultiPolygon, 715153 chars)
[169/542] Etheridge... ok (Polygon, 54167 chars)
[170/542] Eurobodalla... ok (MultiPolygon, 1533674 chars)
[171/542] Exmouth... ok (MultiPolygon, 93401 chars)
[172/542] Fairfield... ok (Polygon, 132987 chars)
[173/542] Federation... ok (Polygon, 251277 chars)
[174/542] Flinders (Qld)... ok (Polygon, 32269 chars)
[175/542] Flinders Ranges... ok (Polygon, 16329 chars)
[176/542] Flinders (Tas.)... ok (MultiPolygon, 2204827 chars)
[177/542] Forbes... ok (Polygon, 349286 chars)
[178/542] Franklin Harbour... ok (Polygon, 68856 chars)
[179/542] Frankston... ok (Polygon, 26288 chars)
[180/542] Fraser Coast... ok (MultiPolygon, 1264350 chars)
[181/542] Fremantle... ok (MultiPolygon, 54620 chars)
[182/542] Gannawarra... ok (Polygon, 353622 chars)
[183/542] Gawler... ok (Polygon, 54384 chars)
[184/542] Georges River... ok (Polygon, 180659 chars)
[185/542] George Town... ok (Polygon, 551314 chars)
[186/542] Gilgandra... ok (Polygon, 201582 chars)
[187/542] Gingin... ok (MultiPolygon, 156015 chars)
[188/542] Gladstone... ok (MultiPolygon, 922234 chars)
[189/542] Glamorgan-Spring Bay... ok (MultiPolygon, 2221858 chars)
[190/542] Glen Eira... ok (Polygon, 18946 chars)
[191/542] Glenelg... ok (Polygon, 319653 chars)
[192/542] Glen Innes Severn... ok (Polygon, 528898 chars)
[193/542] Glenorchy... ok (Polygon, 218039 chars)
[194/542] Gnowangerup... ok (Polygon, 27745 chars)
[195/542] Gold Coast... ok (MultiPolygon, 362476 chars)
[196/542] Golden Plains... ok (Polygon, 211271 chars)
[197/542] Goomalling... ok (Polygon, 14970 chars)
[198/542] Goondiwindi... ok (Polygon, 384205 chars)
[199/542] Gosnells... ok (Polygon, 21645 chars)
[200/542] Goulburn Mulwaree... ok (Polygon, 301435 chars)
[201/542] Goyder... ok (Polygon, 53890 chars)
[202/542] Grant... ok (MultiPolygon, 80003 chars)
[203/542] Greater Bendigo... ok (Polygon, 333948 chars)
[204/542] Greater Dandenong... ok (Polygon, 79940 chars)
[205/542] Greater Geelong... ok (Polygon, 413123 chars)
[206/542] Greater Geraldton... ok (MultiPolygon, 299222 chars)
[207/542] Greater Hume Shire... ok (Polygon, 415773 chars)
[208/542] Greater Shepparton... ok (Polygon, 54554 chars)
[209/542] Griffith... ok (Polygon, 20221 chars)
[210/542] Gunnedah... ok (Polygon, 179705 chars)
[211/542] Gwydir... ok (Polygon, 379888 chars)
[212/542] Gympie... ok (MultiPolygon, 577787 chars)
